epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,346.083,0.80051,0.90579,0.97888,0.81675,0.74735,0.84717,0.64385,1.0165,1.55164,0.94611,0.000566027,0.000566027,0.000566027
63,351.547,0.77663,0.77954,0.90178,0.81675,0.74735,0.84717,0.64385,1.0165,1.55164,0.94611,0.00055188,0.00055188,0.00055188
64,356.893,0.8888,0.90166,0.97132,0.81548,0.75642,0.86371,0.65974,1.01624,1.47105,0.967,0.000537733,0.000537733,0.000537733
65,362.054,0.77959,0.7636,0.92419,0.81548,0.75642,0.86371,0.65974,1.01624,1.47105,0.967,0.000523586,0.000523586,0.000523586
66,367.331,0.80577,0.86763,0.94124,0.83322,0.73331,0.85859,0.6609,0.96487,1.37725,0.96077,0.000509438,0.000509438,0.000509438
67,372.795,0.68082,0.75384,0.87494,0.83322,0.73331,0.85859,0.6609,0.96487,1.37725,0.96077,0.000495291,0.000495291,0.000495291
68,378.182,0.8023,0.83232,0.94604,0.84802,0.74074,0.8664,0.63781,0.98326,1.34025,0.99363,0.000481144,0.000481144,0.000481144
69,383.365,0.76472,0.78851,0.93049,0.84802,0.74074,0.8664,0.63781,0.98326,1.34025,0.99363,0.000466997,0.000466997,0.000466997
70,388.659,0.8772,0.87219,0.97747,0.81424,0.74074,0.8671,0.63604,0.9911,1.27429,0.99352,0.00045285,0.00045285,0.00045285
71,393.934,0.80948,0.78905,0.94996,0.81424,0.74074,0.8671,0.63604,0.9911,1.27429,0.99352,0.000438703,0.000438703,0.000438703
72,399.227,0.75412,0.75844,0.91425,0.89001,0.7341,0.87634,0.67627,0.95566,1.23107,0.95011,0.000424556,0.000424556,0.000424556
73,404.537,0.76081,0.76277,0.90636,0.89001,0.7341,0.87634,0.67627,0.95566,1.23107,0.95011,0.000410409,0.000410409,0.000410409
74,409.825,0.72877,0.73778,0.92301,0.93859,0.70907,0.88536,0.66939,0.93531,1.19569,0.94461,0.000396262,0.000396262,0.000396262
75,414.872,0.75248,0.76744,0.92664,0.93859,0.70907,0.88536,0.66939,0.93531,1.19569,0.94461,0.000382115,0.000382115,0.000382115
76,420.406,0.78345,0.72223,0.93457,0.93202,0.71015,0.87538,0.64824,0.93591,1.17086,0.96682,0.000367967,0.000367967,0.000367967
77,425.697,0.8276,0.89719,0.97966,0.93202,0.71015,0.87538,0.64824,0.93591,1.17086,0.96682,0.00035382,0.00035382,0.00035382
78,431.027,0.73731,0.76917,0.92989,0.91946,0.7037,0.86807,0.65112,0.90468,1.13212,0.9515,0.000339673,0.000339673,0.000339673
79,436.269,0.71397,0.70414,0.90335,0.91946,0.7037,0.86807,0.65112,0.90468,1.13212,0.9515,0.000325526,0.000325526,0.000325526
80,441.573,0.71462,0.76574,0.90576,0.73099,0.81743,0.86959,0.68158,0.85214,1.10831,0.92319,0.000311379,0.000311379,0.000311379
81,446.867,0.72008,0.74489,0.92617,0.73099,0.81743,0.86959,0.68158,0.85214,1.10831,0.92319,0.000297232,0.000297232,0.000297232
82,452.12,0.70001,0.70457,0.89463,0.8018,0.81481,0.88101,0.70399,0.86235,1.08199,0.92213,0.000283085,0.000283085,0.000283085
83,457.418,0.73565,0.73182,0.9547,0.8018,0.81481,0.88101,0.70399,0.86235,1.08199,0.92213,0.000268938,0.000268938,0.000268938
84,462.69,0.71004,0.74829,0.95152,0.82031,0.79269,0.89175,0.68606,0.91027,1.05289,0.94125,0.000254791,0.000254791,0.000254791
85,468.166,0.69685,0.76047,0.90217,0.82031,0.79269,0.89175,0.68606,0.91027,1.05289,0.94125,0.000240644,0.000240644,0.000240644
86,473.504,0.7043,0.75046,0.92837,0.94017,0.7262,0.88532,0.65645,0.97849,1.04873,0.97532,0.000226497,0.000226497,0.000226497
87,478.8,0.70072,0.70072,0.88298,0.94017,0.7262,0.88532,0.65645,0.97849,1.04873,0.97532,0.000212349,0.000212349,0.000212349
88,484.105,0.75139,0.79363,0.92605,0.97066,0.7037,0.87602,0.63558,1.0226,1.03614,1.00354,0.000198202,0.000198202,0.000198202
89,489.433,0.80424,0.72073,0.90029,0.97066,0.7037,0.87602,0.63558,1.0226,1.03614,1.00354,0.000184055,0.000184055,0.000184055
90,494.763,0.77567,0.71036,0.89508,0.75724,0.85185,0.87978,0.63486,1.00791,1.02278,1.00023,0.000169908,0.000169908,0.000169908
91,500.013,0.67663,0.71395,0.87624,0.75724,0.85185,0.87978,0.63486,1.00791,1.02278,1.00023,0.000155761,0.000155761,0.000155761
92,505.331,0.68623,0.71524,0.86818,0.76132,0.87901,0.87666,0.67194,0.93284,1.00409,0.96925,0.000141614,0.000141614,0.000141614
93,510.409,0.5873,0.65496,0.83572,0.76132,0.87901,0.87666,0.67194,0.93284,1.00409,0.96925,0.000127467,0.000127467,0.000127467
94,515.853,0.75507,0.75753,0.909,0.79221,0.87571,0.87615,0.68465,0.86666,0.98576,0.93933,0.00011332,0.00011332,0.00011332
95,520.968,0.60267,0.67432,0.87379,0.79221,0.87571,0.87615,0.68465,0.86666,0.98576,0.93933,9.91726e-05,9.91726e-05,9.91726e-05
96,526.175,0.60726,0.74007,0.87043,0.80098,0.88664,0.87214,0.68725,0.84037,0.97271,0.92658,8.50255e-05,8.50255e-05,8.50255e-05
97,531.421,0.63922,0.70485,0.87144,0.80098,0.88664,0.87214,0.68725,0.84037,0.97271,0.92658,7.08784e-05,7.08784e-05,7.08784e-05
98,536.777,0.58015,0.64537,0.87097,0.80269,0.88889,0.87135,0.69241,0.83395,0.96918,0.92332,5.67313e-05,5.67313e-05,5.67313e-05
99,541.92,0.62016,0.65442,0.86582,0.80269,0.88889,0.87135,0.69241,0.83395,0.96918,0.92332,4.25842e-05,4.25842e-05,4.25842e-05
100,547.162,0.57138,0.63776,0.86255,0.80187,0.88889,0.8701,0.69173,0.83722,0.9673,0.92392,2.84371e-05,2.84371e-05,2.84371e-05
