epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1591.05,0.36518,0.36846,0.82097,0.97714,0.97411,0.98049,0.94828,0.29925,0.36863,0.79552,0.000438703,0.000438703,0.000438703
72,1611.35,0.38877,0.40402,0.83183,0.98106,0.96602,0.98079,0.94085,0.30385,0.36544,0.79459,0.000424556,0.000424556,0.000424556
73,1631.48,0.36445,0.37591,0.8284,0.98317,0.97106,0.98033,0.9426,0.29168,0.36148,0.79167,0.000410409,0.000410409,0.000410409
74,1651.88,0.36274,0.37524,0.82285,0.98215,0.97222,0.98163,0.94057,0.29148,0.36021,0.79119,0.000396262,0.000396262,0.000396262
75,1672.49,0.36555,0.37433,0.81963,0.98318,0.97204,0.98699,0.94544,0.29931,0.3662,0.79265,0.000382115,0.000382115,0.000382115
76,1692.95,0.36918,0.36894,0.82685,0.98624,0.97202,0.98603,0.94689,0.28954,0.35815,0.78877,0.000367967,0.000367967,0.000367967
77,1713.98,0.36644,0.36774,0.82887,0.98479,0.97505,0.98381,0.9464,0.29611,0.35785,0.79029,0.00035382,0.00035382,0.00035382
78,1735.31,0.36952,0.35886,0.82145,0.98189,0.97743,0.98134,0.94278,0.28313,0.35919,0.79036,0.000339673,0.000339673,0.000339673
79,1757.43,0.35127,0.35536,0.82659,0.98147,0.9789,0.98296,0.94966,0.27866,0.35604,0.79065,0.000325526,0.000325526,0.000325526
80,1779.36,0.36949,0.36052,0.82958,0.98304,0.97693,0.99201,0.9492,0.30129,0.34735,0.79404,0.000311379,0.000311379,0.000311379
81,1800.77,0.37099,0.36355,0.82793,0.99659,0.97444,0.9931,0.95122,0.28554,0.33631,0.79055,0.000297232,0.000297232,0.000297232
82,1822.24,0.38196,0.3585,0.83218,0.99654,0.97471,0.9931,0.9501,0.2816,0.33064,0.78956,0.000283085,0.000283085,0.000283085
