epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,533.534,0.60622,1.43124,0.94731,0.77865,0.55639,0.65034,0.38993,1.48177,1.4181,1.49217,0.000218,0.000218,0.000218
92,539.22,0.75998,1.69048,1.12874,0.91405,0.56076,0.66241,0.38227,1.52859,1.35761,1.52021,0.0001982,0.0001982,0.0001982
93,544.979,0.74304,0.74271,0.8741,0.91405,0.56076,0.66241,0.38227,1.52859,1.35761,1.52021,0.0001784,0.0001784,0.0001784
94,550.622,0.58362,0.64189,0.86555,0.91829,0.5923,0.67167,0.39766,1.54206,1.37539,1.53271,0.0001586,0.0001586,0.0001586
95,556.054,1.36281,2.23191,1.02903,0.91919,0.59967,0.67471,0.41899,1.52753,1.40933,1.52149,0.0001388,0.0001388,0.0001388
96,561.622,0.85066,0.76275,0.94724,0.77849,0.63158,0.69419,0.40804,1.55237,1.35333,1.54036,0.000119,0.000119,0.000119
97,759.245,1.65122,1.99411,2.24555,0.77849,0.63158,0.69419,0.40804,1.55237,1.35333,1.54036,9.92e-05,9.92e-05,9.92e-05
98,765.188,0.62473,0.59923,0.87573,0.73147,0.63158,0.6777,0.40135,1.59659,1.31009,1.59408,7.94e-05,7.94e-05,7.94e-05
99,770.614,2.18502,3.75008,1.48343,0.70218,0.68421,0.68074,0.40206,1.59819,1.2973,1.59152,5.96e-05,5.96e-05,5.96e-05
100,776.301,1.28099,1.59866,0.90724,0.74729,0.68421,0.70945,0.41893,1.58621,1.23506,1.54643,3.98e-05,3.98e-05,3.98e-05
